Дата,Всего (накоп.),За сутки,Летальных всего,Летальных за сутки
2021-01-18,27605,183,111,0
2021-01-19,27802,197,112,1
2021-01-20,27934,132,114,2
2021-01-21,28129,195,115,1
2021-01-22,28292,163,117,2
2021-01-23,28473,181,118,1
2021-01-24,28565,92,120,2
2021-01-25,28710,145,121,1
2021-01-26,28773,63,122,1
2021-01-27,28871,98,124,2
2021-01-28,29007,136,127,3
2021-01-29,29178,171,128,1
2021-01-30,29328,150,130,2
2021-01-31,29493,165,131,1
2021-02-01,29608,115,132,1
2021-02-02,29650,42,135,3
2021-02-03,29751,101,137,2
2021-02-04,29875,124,139,2
2021-02-05,30038,163,139,0
2021-02-06,30121,83,140,1
2021-02-07,30214,93,140,0
2021-02-08,30254,40,142,2
2021-02-09,30335,81,144,2
2021-02-10,30411,76,145,1
2021-02-11,30476,65,146,1
2021-02-12,30591,115,148,2
2021-02-13,30702,111,150,2
2021-02-14,30806,104,152,2
2021-02-15,30864,58,153,1
2021-02-16,30923,59,155,2
2021-02-17,30993,70,157,2
2021-02-18,31108,115,159,2
2021-02-19,31199,91,161,2
2021-02-20,31314,115,163,2
2021-02-21,31425,111,165,2
2021-02-22,31542,117,165,0
2021-02-23,31596,54,165,0
2021-02-24,31659,63,168,3
2021-02-25,31731,72,168,0
2021-02-26,31806,75,168,0
2021-02-27,31902,96,168,0
2021-02-28,31996,94,168,0
2021-03-01,32095,99,168,0
2021-03-02,32184,89,169,1
2021-03-03,32276,92,171,2
2021-03-04,32366,90,173,2
2021-03-05,32463,97,175,2
2021-03-06,32557,94,178,3
2021-03-07,32655,98,180,2
2021-03-08,32744,89,181,1
2021-03-09,32797,53,184,3
2021-03-10,32831,34,186,2
2021-03-11,32906,75,188,2
2021-03-12,33000,94,191,3
2021-03-13,33097,97,193,2
2021-03-14,33192,95,196,3
2021-03-15,33284,92,199,3
2021-03-16,33336,52,202,3
2021-03-17,33402,66,205,3
2021-03-18,33470,68,208,3
2021-03-19,33543,73,211,3
2021-03-20,33613,70,214,3
2021-03-21,33682,69,214,0
2021-03-22,33750,68,214,0
2021-03-23,33813,63,214,0
2021-03-24,33886,73,217,3
2021-03-25,33962,76,220,3
2021-03-26,34031,69,223,3
2021-03-27,34102,71,227,4
2021-03-28,34148,46,229,2
2021-03-29,34199,51,232,3
2021-03-30,34266,67,235,3
2021-03-31,34343,77,239,4
2021-04-01,34432,89,244,5
2021-04-02,34523,91,246,2
2021-04-03,34604,81,251,5
2021-04-04,34683,79,252,1
2021-04-05,34734,51,257,5
2021-04-06,34784,50,261,4
2021-04-07,34828,44,266,5
2021-04-08,34895,67,266,0
2021-04-09,34965,70,267,1
2021-04-10,35032,67,270,3
2021-04-11,35098,66,275,5
2021-04-12,35147,49,279,4
2021-04-13,35206,59,281,2
2021-04-14,35257,51,286,5
2021-04-15,35327,70,289,3
2021-04-16,35400,73,291,2
2021-04-17,35471,71,296,5
2021-04-18,35540,69,298,2
2021-04-19,35589,49,303,5
2021-04-20,35644,55,307,4
2021-04-21,35703,59,309,2
2021-04-22,35762,59,313,4
2021-04-23,35831,69,315,2
2021-04-24,35909,78,320,5
2021-04-25,35960,51,324,4
2021-04-26,36005,45,326,2
2021-04-27,36057,52,331,5
2021-04-28,36122,65,334,3
2021-04-29,36191,69,336,2
2021-04-30,36263,72,336,0
2021-05-01,36353,90,338,2
2021-05-02,36430,77,342,4
2021-05-03,36499,69,346,4
2021-05-04,36550,51,348,2
2021-05-05,36585,35,353,5
2021-05-06,36634,49,356,3
2021-05-07,36674,40,358,2
2021-05-08,36731,57,361,3
2021-05-09,36784,53,361,0
2021-05-10,36836,52,365,4
2021-05-11,36887,51,367,2
2021-05-12,36942,55,367,0
2021-05-13,36974,32,367,0
2021-05-14,37031,57,367,0
2021-05-15,37096,65,367,0
2021-05-16,37163,67,368,1
2021-05-17,37214,51,369,1
2021-05-18,37273,59,374,5
2021-05-19,37327,54,374,0
2021-05-20,37362,35,378,4
2021-05-21,37400,38,383,5
2021-05-22,37452,52,386,3
2021-05-23,37485,33,388,2
2021-05-24,37510,25,392,4
2021-05-25,37561,51,393,1
2021-05-26,37611,50,396,3
2021-05-27,37663,52,398,2
2021-05-28,37716,53,401,3
2021-05-29,37751,35,403,2
2021-05-30,37786,35,404,1
2021-05-31,37806,20,405,1
2021-06-01,37853,47,405,0
2021-06-02,37896,43,407,2
2021-06-03,37941,45,410,3
2021-06-04,37982,41,411,1
2021-06-05,38021,39,415,4
2021-06-06,38060,39,416,1
