date,obs_cases,obs_deaths,fit_cases,fit_deaths,S,E,I,R,D
2025-07-02,0.18022514662071545,0.0,0.2685143588881745,1.3558256675912888e-12,59.589804605797504,0.671285897220436,0.5119724467162039,1.466767988646322,9.713310720684693e-12
2025-07-03,0.13358269735342926,0.0,0.30307156557963894,1.5345929398054888e-12,59.217924168229345,0.7576789139490971,0.5794766398702424,1.684751216330342,1.1156851102518859e-11
2025-07-04,0.11636243936663959,0.0,0.3414199118448016,1.7342350708591168e-12,58.800133600111955,0.8535497796120036,0.6548633748660091,1.9312841837874215,1.2789455123290462e-11
2025-07-05,0.13111872232952415,0.0,0.38379044825376407,1.9564214042090187e-12,58.33194595558444,0.9594761206344099,0.7387630113982938,2.209645850758406,1.463283688846811e-11
2025-07-06,0.1787697680184566,0.0,0.4303742294970793,2.202731831192343e-12,57.80876183249175,1.0759355737426979,0.8317721312052653,2.5233614009337555,1.671034106114643e-11
2025-07-07,0.2602337982130444,0.0,0.4813037583159297,2.474578077024462e-12,57.22596474042919,1.2032593957898239,0.9344238149254468,2.8761829872266698,1.9046815352346892e-11
2025-07-08,0.36909138901683036,0.0,0.5366313969943527,2.773106680624868e-12,56.57904418510605,1.3415784924858813,1.0471510063730012,3.272057254403576,2.1668395447615688e-11
2025-07-09,0.4983856686044924,0.0,0.5963051059780509,3.099083580157681e-12,55.863748418455465,1.4907627649451267,1.1702429309589026,3.715076824006084,2.4602183727836177e-11
2025-07-10,0.6394799309426971,0.0,0.6601423314155738,3.4527616582270132e-12,55.076267037873485,1.650355828538934,1.3037950795184805,4.209412992431404,2.7875803578797935e-11
2025-07-11,0.7837374699981107,0.0,0.7278035608840426,3.83373398435392e-12,54.21344090255817,1.819508902210106,1.4476537912987864,4.7592273422916005,3.1516814059134425e-11
2025-07-12,0.9225215797309324,0.0,0.7987674952038104,4.240779231475861e-12,53.27299382574752,1.9969187380095255,1.6013578817837015,5.368560492813882,3.555197317717528e-11
2025-07-13,1.0471955541110622,0.0,0.8723105162965881,4.671708505875043e-12,52.25377640617708,2.1807762907414694,1.764080804243003,6.041197437188621,4.000634612061097e-11
2025-07-14,1.147587935632651,0.0,0.9474937732208293,5.123225787997306e-12,51.15600789822353,2.3687344330520723,1.9345779508809358,6.780510656188742,4.490226631497332e-11
2025-07-15,1.2106171104355274,0.0,1.0231613032705167,5.590818525364513e-12,49.981498153464514,2.5579032581762906,2.1111453396971664,7.5892841870019465,5.025817036269124e-11
2025-07-16,1.249840034065225,0.0,1.0979526466689358,6.068696615377787e-12,48.733828192846744,2.7448816166723384,2.291596573822876,8.469524554992136,5.608734598512174e-11
2025-07-17,1.2739213836288803,0.0,1.1703328092893233,6.549798501765836e-12,47.41846638532768,2.925832023223307,2.4732651435966417,9.422267386180149,6.239665136120564e-11
2025-07-18,1.2915258362190798,0.0,1.2386408955520636,7.025882587036437e-12,46.042798630312184,3.0966022388801577,2.653038944760665,10.447391124367988,6.918528151487971e-11
2025-07-19,1.3103659474323246,0.0,1.3011570362956921,7.487715995156718e-12,44.6160549491574,3.252892590739229,2.827431557013452,11.543451841403657,7.644367438663134e-11
2025-07-20,1.3343457868759288,0.0,1.356184499475015,7.925366269802154e-12,43.149123098096304,3.3904612486875365,2.9926923919955097,12.707554199526678,8.415265631332728e-11
2025-07-21,1.3664173026465707,0.0,1.4021418003149435,8.32858781083214e-12,41.65424979822653,3.5053545007873574,3.1449526153150393,13.935274023968969,9.228292928428174e-11
2025-07-22,1.4074141368748516,0.0,1.4376565240196875,8.68728695053789e-12,40.14464366631636,3.5941413100492174,3.280400763686803,15.220645198237005,1.0079498415848128e-10
2025-07-23,1.4496967077963443,0.0,1.4616522251407702,8.992031283099646e-12,38.63400451520594,3.654130562851924,3.3954750724965184,16.556220787726158,1.0963950544070698e-10
2025-07-24,1.4835071276740766,0.0,1.4734188491370086,9.234563289670018e-12,37.1360144365788,3.6835471228425205,3.487057425433839,17.93321195341627,1.1875829120336175e-10
2025-07-25,1.499087508771077,0.0,1.4726587143918828,9.408271871637839e-12,35.663831048065404,3.6816467859797055,3.552651409860808,19.34170169435618,1.2808566854357238e-10
2025-07-26,1.4888896708693613,0.0,1.4595031561059908,9.508574243914211e-12,34.22962272744219,3.6487578902649758,3.5905265232867136,20.770923797258753,1.375503408583638e-10
2025-07-27,1.4542042638349812,0.0,1.434497835605358,9.533172564729267e-12,32.84418104882036,3.5862445890133934,3.599815079178392,22.20959022123096,1.47077555869618e-10
2025-07-28,1.398531645048125,0.0,1.398559207797101,9.482159463994347e-12,31.51663480210757,3.4963980194927515,3.580552055456296,23.646246061176974,1.5659145628202106e-10
2025-07-29,1.326608549525392,0.0,1.35290775927208,9.357964967970266e-12,30.25427792722955,3.3822693981801986,3.533655052753068,25.069628560061354,1.6601745725359146e-10
2025-07-30,1.2481172228015365,0.0,1.298985751923757,9.165156198291926e-12,29.062511279851254,3.247464379809392,3.4608486588927643,26.46900661966149,1.7528449472224356e-10
2025-07-31,1.173976288042872,0.0,1.2383685352876141,8.910114186216863e-12,27.944886744349247,3.0959213382190343,3.3645424109298774,27.834480444707697,1.8432700972550344e-10
2025-08-01,1.1151043684092454,0.0,1.172677839509171,8.600624306566599e-12,26.903234793446895,2.9316945987729266,3.247676139176853,29.157225406800425,1.9308656332939996e-10
2025-08-02,1.0797183881998837,0.0,1.1035039372264308,8.245422108128787e-12,25.93785255650124,2.758759843066076,3.113548468518238,30.429670070103118,2.0151301555988717e-10
2025-08-03,1.0652284762230313,0.0,1.0323416534507535,7.853734017770823e-12,25.04772856740349,2.580854133626883,2.9656433839903538,31.645604853159895,2.0956524498904112e-10
