wave,strain,date,obs_cases,obs_deaths,fit_cases,fit_deaths,S,E,I,R,D
1,Wuhan-1 (D614G / ancestral),2020-07-09,45.5,0.0,49.627147803479126,0.4566096030266618,3514.862489209612,282.93698861732713,206.32263790366162,2293.464675097211,20.507608183832673
1,Wuhan-1 (D614G / ancestral),2020-07-10,43.55555555555556,0.0,48.8841876878817,0.45215000615918477,3469.8385437320894,278.7011840814239,204.30753400837398,2344.2851049744695,20.96203221528744
1,Wuhan-1 (D614G / ancestral),2020-07-11,42.0,0.0,48.094096791527164,0.44717218209059345,3425.850139422612,274.1966749802008,202.05826507919613,2394.577584091307,21.411735438328346
1,Wuhan-1 (D614G / ancestral),2020-07-12,39.888888888888886,0.0,47.260660717952106,0.44170218841810416,3382.9209397580803,269.44504400200776,199.586605446233,2444.2855972972184,21.85621250810506
1,Wuhan-1 (D614G / ancestral),2020-07-13,38.5,8.0,46.387737850645905,0.4357678222300877,3341.0703676512826,264.46828877221185,196.9051154423393,2493.3556421273347,22.29498501847585
1,Wuhan-1 (D614G / ancestral),2020-07-14,37.888888888888886,0.0,45.47922652871117,0.42939834215189115,3300.3137368217986,259.2886347132909,194.02701580733975,2541.7374085598594,22.72760310935526
1,Wuhan-1 (D614G / ancestral),2020-07-15,36.666666666666664,2.0,44.53903389137155,0.42262418593504975,3260.662406287731,253.9283574194504,190.9660600784945,2589.383928423291,23.153646802677475
1,Wuhan-1 (D614G / ancestral),2020-07-16,35.111111111111114,1.0,43.5710456685404,0.41547670044519974,3222.12395819142,248.40961042497406,187.73641258341567,2636.2516907777263,23.57272703410812
1,Wuhan-1 (D614G / ancestral),2020-07-17,34.166666666666664,2.0,42.57909855191557,0.4079878716663888,3184.702390466743,242.75426768480966,184.35252644039272,2682.3007279969293,23.984486422769347
1,Wuhan-1 (D614G / ancestral),2020-07-18,31.77777777777778,1.0,41.56695515898231,0.4001900589931013,3148.398321832167,236.9837808379838,180.82902349615583,2727.494673061794,24.38859978354418
1,Wuhan-1 (D614G / ancestral),2020-07-19,30.333333333333332,0.0,40.53828123822449,0.392115744852184,3113.209207254433,231.11904924871456,177.1805811905751,2771.80078694597,24.78477437195219
1,Wuhan-1 (D614G / ancestral),2020-07-20,28.055555555555557,3.0,39.4966255708735,0.38379729665084694,3079.1295597280846,225.18030542117185,173.4218249909938,2815.189958983953,25.17274988744085
1,Wuhan-1 (D614G / ancestral),2020-07-21,27.055555555555557,0.0,38.445402747351,0.3752667416824543,3046.1511749291385,219.18701680359771,169.56722668164068,2857.636682343204,25.552298254063135
1,Wuhan-1 (D614G / ancestral),2020-07-22,26.0,0.0,37.38787800121101,0.36655556864754624,3014.263358686242,213.157799322754,165.631014679344,2899.1190031576625,25.923223165641684
1,Wuhan-1 (D614G / ancestral),2020-07-23,27.22222222222222,0.0,36.32715488226897,0.35769454369576453,2983.453152546453,207.11034710529654,161.62709091062945,2939.6184490030523,26.28535944621222
1,Wuhan-1 (D614G / ancestral),2020-07-24,26.22222222222222,3.0,35.26616612543349,0.3487135381452128,2953.705553338791,201.06138041866325,157.56895296535924,2979.1199400334026,26.63857225542772
1,Wuhan-1 (D614G / ancestral),2020-07-25,26.27777777777778,1.0,34.20766658990443,0.3396413796466303,2925.003728816766,195.0266054156469,153.4696268440942,3017.6116818049213,26.982756130215375
1,Wuhan-1 (D614G / ancestral),2020-07-26,26.72222222222222,0.0,33.15422764420437,0.33050573701785646,2897.3292288794096,189.02068212203196,149.3416149196413,3055.085039232832,27.317833857728985
1,Wuhan-1 (D614G / ancestral),2020-07-27,25.61111111111111,1.0,32.108234160920624,0.32133301642973117,2870.6621873743047,183.05720730285438,145.19684902783695,3091.5344000521995,27.64375525444858
1,Wuhan-1 (D614G / ancestral),2020-07-28,24.88888888888889,2.0,31.071884322677747,0.31214826573301585,2844.981511605761,177.1487133562017,141.04664723691414,3126.9570309331693,27.960495879597588
1,Wuhan-1 (D614G / ancestral),2020-07-29,26.22222222222222,0.0,30.04719040245019,0.30297510749730944,2820.265064700575,171.3066727619739,136.9016835906105,3161.3529223108353,28.26805564764893
1,Wuhan-1 (D614G / ancestral),2020-07-30,26.833333333333332,0.0,29.035980395631054,0.29383570117689073,2796.4898396681997,165.54150738672226,132.77197101250673,3194.7246235894545,28.56645735476082
1,Wuhan-1 (D614G / ancestral),2020-07-31,28.0,1.0,28.039901877542658,0.2847507089135317,2773.6321199607737,159.8626104762981,128.66684585375893,3227.0770775229657,28.85574519784732
1,Wuhan-1 (D614G / ancestral),2020-08-01,28.11111111111111,0.0,27.06042753630719,0.27573926927951353,2751.667627365082,154.2783782001552,124.5949560286742,3258.417454128262,29.135983289470825
1,Wuhan-1 (D614G / ancestral),2020-08-02,28.166666666666668,0.0,26.098860782101752,0.26681899908505413,2730.571661791974,148.796241631139,120.56426183141089,3288.7549796288226,29.40725412829731
1,Wuhan-1 (D614G / ancestral),2020-08-03,26.72222222222222,0.0,25.15634183830737,0.25800601263889006,2710.319231305105,143.42270147267615,116.58204463902388,3318.1007645330246,29.669657061814004
1,Wuhan-1 (D614G / ancestral),2020-08-04,25.944444444444443,0.0,24.233855603489317,0.24931493643039082,2690.8851676495456,138.1633728819233,112.65491354569333,3346.467638128068,29.92330680641397
2,Wuhan-1 (D614G / ancestral),2020-08-05,25.944444444444443,0.0,24.386392758875907,0.17529847978533836,199735.94148730696,139.03302599131084,113.64812980817952,0.0,0.0
2,Wuhan-1 (D614G / ancestral),2020-08-06,26.0,1.0,25.2236734270559,0.1705785295509962,199706.33885292232,143.80657598093453,110.58812884537863,27.716351800010784,0.17273355781651228
2,Wuhan-1 (D614G / ancestral),2020-08-07,26.166666666666668,0.0,25.825856656397516,0.1678636844135179,199677.36527356764,147.2397756921182,108.82806182727866,54.84771069047681,0.34182132894030914
2,Wuhan-1 (D614G / ancestral),2020-08-08,26.333333333333332,0.0,26.275448028085396,0.16645359462514991,199648.7412552138,149.80301042237977,107.91388352119255,81.6556007679758,0.5088931811109321
2,Wuhan-1 (D614G / ancestral),2020-08-09,26.38888888888889,0.0,26.62607124465836,0.16589301464499365,199620.28493603398,151.80200253511046,107.55045272344302,108.31024185737922,0.6750099565407005
2,Wuhan-1 (D614G / ancestral),2020-08-10,24.88888888888889,0.0,26.912578757471955,0.16588601551311016,199591.87790772624,153.43545471762812,107.5459151013837,134.92250294938998,0.8408626117939498
2,Wuhan-1 (D614G / ancestral),2020-08-11,24.833333333333332,3.0,27.15762265759338,0.1662402250346848,199563.44300376737,154.83251230098858,107.77555342874683,161.56467195050863,1.0069016588055493
2,Wuhan-1 (D614G / ancestral),2020-08-12,25.333333333333332,0.0,27.37592523710947,0.16683058457679062,199534.92986406435,156.07711081590358,108.15829067756326,188.28395624566406,1.1734213029461342
2,Wuhan-1 (D614G / ancestral),2020-08-13,25.11111111111111,0.0,27.57705458918125,0.16757579102411502,199506.3055531936,157.22380039442,108.64141705243611,215.11125833154136,1.340614134432352
