wave,strain,date,obs_cases,obs_deaths,fit_int,S_int,E_int,I_int,R_int,D_int,fit_frac,alpha_k,S_frac,E_frac,I_frac,R_frac,D_frac
7,Omicron BA.4/BA.5 (Ninja),2022-12-20,14.333333333333334,0.0,7.609900326829663,19336.914395293297,21.10733166561571,21.706354109157687,11994.311927710729,64.52899787448048,8.489278181162195,0.9629073612102548,15182.611030537702,23.546433261382212,24.583264880961792,10171.286022314896,52.23125244422089
7,Omicron BA.4/BA.5 (Ninja),2022-12-21,14.444444444444445,0.0,7.265829125555285,19330.258834005086,20.15299262699775,20.728542881697038,12002.853684896432,64.57495224306807,8.17024016042652,0.9629073612102548,15175.673308897964,22.661527936950066,23.664241191170852,10174.705810673358,52.24881362858485
7,Omicron BA.4/BA.5 (Ninja),2022-12-22,14.5,0.0,6.936925204567076,19323.905274928842,19.240722577685318,19.79351311065619,12011.010659541667,64.61883649442962,7.864166921088706,0.9629073612102548,15168.954156826978,21.81258260268653,22.782223174858807,10177.866128356722,52.26504238769765
7,Omicron BA.4/BA.5 (Ninja),2022-12-23,14.11111111111111,0.0,6.622554901392554,19317.84030835316,18.368763948801515,18.89950639613761,12018.799686754299,64.66074120088359,7.570528465230996,0.9629073612102548,15162.444154885947,20.99812722069994,21.935724225297275,10180.778942195608,52.280000173233155
7,Omicron BA.4/BA.5 (Ninja),2022-12-24,13.333333333333334,0.0,6.322107863858117,19312.051093574086,17.535423826483118,18.04482635368391,12026.236909686977,64.70075321205249,7.288815216432058,0.9629073612102548,15156.134295849444,20.21674839553541,21.123312853321867,10183.455703530344,52.293745789736455
7,Omicron BA.4/BA.5 (Ninja),2022-12-25,12.222222222222221,0.0,6.034996487858558,19306.52533714427,16.73907239244026,17.227837389331892,12033.337803941084,64.73895578615527,7.018537384235675,0.9629073612102548,15150.015967383544,19.46708761142244,20.343611169628446,10185.907368579254,52.306335499218314
7,Omicron BA.4/BA.5 (Ninja),2022-12-26,11.055555555555555,5.0,5.7606553382882835,19301.25127173104,15.978141317812312,16.44696339706304,12040.11720148866,64.77542871870651,6.759224332373883,0.9629073612102548,15144.08093536497,18.747839479936058,19.595293353075135,10188.144418176193,52.3178231225112
7,Omicron BA.4/BA.5 (Ninja),2022-12-27,10.666666666666666,0.0,5.498540557282757,19296.217635588735,15.251122121826501,15.700686392514456,12046.589314081744,64.81024846845787,6.5104239527187975,0.9629073612102548,15138.32132782672,18.0577500035475,18.877084112495545,10190.17687687918,52.32826013739467
7,Omicron BA.4/BA.5 (Ninja),2022-12-28,10.222222222222221,0.0,5.248129263486211,19291.413652647712,14.556564505566417,14.987545095477863,12052.767756124074,64.84348828044709,6.271702046672943,0.9629073612102548,15132.729619514736,17.395614859806795,18.18775714865116,10192.014331453418,52.337695773509
7,Omicron BA.4/BA.5 (Ninja),2022-12-29,9.944444444444445,0.0,5.008918945663111,19286.82901321974,13.893074670051975,14.306133472473999,12058.665566984966,64.87521830604591,6.042641715468131,0.9629073612102548,15127.29861704011,16.760277710234693,17.526133622150176,10193.665948734695,52.34617710408711
7,Omicron BA.4/BA.5 (Ninja),2022-12-30,9.555555555555555,0.0,4.78042685360424,19282.45385531731,13.259313626815523,13.655099249541546,12064.295232739685,64.90550571992256,5.822842760626462,0.9629073612102548,15122.02144461035,16.15062853740097,16.89108063243211,10195.14049288076,52.3537491345426
7,Omicron BA.4/BA.5 (Ninja),2022-12-31,8.722222222222221,1.0,4.5621893889416985,19278.2787465823,12.65399550822534,13.033142404319294,12069.66870732458,64.93441483385564,5.611921095641759,0.9629073612102548,15116.89153032323,15.565602013124437,16.281509712254355,10196.446342019446,52.36045488796133
7,Omicron BA.4/BA.5 (Ninja),2023-01-01,8.11111111111111,0.0,4.353761498178903,19274.29466681763,12.075885883952791,12.439013645522682,12074.797433098818,64.96200720735561,5.409508169764118,0.9629073612102548,15111.902593006533,15.004175900243013,15.69637534151613,10197.591504304226,52.36633548754867
7,Omicron BA.4/BA.5 (Ninja),2023-01-02,7.444444444444445,0.0,4.15471606995982,19270.492991114206,11.52380008919771,11.87151288701691,12079.69236080779,64.98834175506721,5.2152504046128705,0.9629073612102548,15107.048629586867,14.46536948996551,15.134673483710689,10198.58363338804,52.37143023609084
8,Omicron XBB.1.16 (Arcturus),2023-01-03,6.777777777777778,0.0,7.23708462011454,12248.598204422868,18.092711550286307,1.186974720133316,0.0,0.0,5.692482472176577,0.9643253762127757,12253.378178928673,14.23120618044141,1.4824807255378147e-9,0.0,0.0
8,Omicron XBB.1.16 (Arcturus),2023-01-04,6.055555555555555,1.0,4.5753642338757095,12248.01542076835,11.438410584689247,7.947979858309605,0.47460948881172127,0.0014699931265288904,3.21241231305101,0.9643253762127757,11816.243522271921,8.031030782627507,5.6924824730116645,5.927669792678538e-10,1.7396136522428493e-12
8,Omicron XBB.1.16 (Arcturus),2023-01-05,5.722222222222222,0.0,4.306071449065638,12244.113288496499,10.76517862266407,9.33551703132365,3.6525934792496155,0.01131306355029743,3.2265221245421674,0.9643253762127757,11602.184100896911,8.0663053113554,6.419009952596511,2.2761278327484544,0.006679830676448531
8,Omicron XBB.1.16 (Arcturus),2023-01-06,5.666666666666667,0.0,4.4164012352295146,12239.531392582025,11.041003088073762,9.89723905448147,7.385381457692826,0.022874511014905466,3.3666796108071457,0.9643253762127757,11460.65245309636,8.416699027017845,6.940291769153463,4.761556233269842,0.013973902931551948
8,Omicron XBB.1.16 (Arcturus),2023-01-07,5.055555555555555,1.0,4.5921498481404415,12234.675619814518,11.480374620351077,10.343991769187028,11.34277287354983,0.03513161568185826,3.5475845238641868,0.9643253762127757,11354.674814713802,8.868961309660447,7.420389440309055,7.405903023881244,0.021734358454722193
8,Omicron XBB.1.16 (Arcturus),2023-01-08,4.333333333333333,0.0,4.784467797705092,12229.602675092465,11.961169494262702,10.787306634477137,15.478797476748717,0.04794199533330401,3.7473654798735816,0.9643253762127757,11269.703106463561,9.368413699683932,7.902219109669178,10.204147735656885,0.029946463503039367
8,Omicron XBB.1.16 (Arcturus),2023-01-09,3.5555555555555554,0.0,4.98594608665712,12224.31451157238,12.464865216642771,11.245131861838258,19.79208065001584,0.0613013924101515,3.960453377477136,0.9643253762127757,11198.537707403606,9.901133443692817,8.397410404044358,13.162347675200687,0.03862799466263689
8,Omicron XBB.1.16 (Arcturus),2023-01-10,3.2777777777777777,0.0,5.195653789871802,12218.804296227687,12.989134474679474,11.720807880982923,24.28842433286026,0.07522777707818946,4.185132032909004,0.9643253762127757,11137.095062641713,10.462830082272486,8.910513874251336,16.288538761042812,0.04780253522015573
8,Omicron XBB.1.16 (Arcturus),2023-01-11,3.388888888888889,0.0,5.413677078984321,12213.063584215033,13.534192697460773,12.215404395389427,28.97496612898959,0.08974325641415662,4.420897269456002,0.9643253762127757,11082.836617849385,11.05224317363998,9.443962405935336,19.59122865897052,0.057495052915145964
8,Omicron XBB.1.16 (Arcturus),2023-01-12,3.7222222222222223,0.0,5.640265663749922,12207.083435674134,14.100664159374773,12.729648236595905,33.85927136092669,0.10487126225490144,4.667707275729173,0.9643253762127757,11034.076192981986,11.669268189322906,9.999425900112334,23.079130940052288,0.06773111976447202
8,Omicron XBB.1.16 (Arcturus),2023-01-13,4.222222222222222,0.0,5.875699097815261,12200.854586425221,14.689247744538118,13.264224423611168,38.94919597334408,0.1206361265721675,4.925725599663376,0.9643253762127757,10989.635965554475,12.314313999158411,10.578256559090637,26.761146647582958,0.07853685796619231
8,Omicron XBB.1.16 (Arcturus),2023-01-14,4.222222222222222,0.0,6.120265577326465,12194.367471128628,15.300663943316128,13.81982277724526,44.252869814407,0.13706302969042017,5.195218587264905,0.9643253762127757,10948.659881605865,12.988046468162231,11.181659510323243,30.64639227704263,0.08993902201330735
8,Omicron XBB.1.16 (Arcturus),2023-01-15,4.277777777777778,0.0,6.374258289607038,12187.6122237706,15.935645724017558,14.397144636671491,49.77869855576408,0.1541780062335737,5.476509164440791,0.9643253762127757,10910.505343561374,13.691272911101946,11.810766758655667,34.744231022374834,0.10196509039328769
8,Omicron XBB.1.16 (Arcturus),2023-01-16,4.111111111111111,0.0,6.637974459920221,12180.57867505521,16.594936149800514,14.996903230744334,55.535368298142096,0.17200795938975577,5.76995379852859,0.9643253762127757,10874.676843690704,14.424884496321443,12.466672462727164,39.06429888518322,0.11464334221163183
8,Omicron XBB.1.16 (Arcturus),2023-01-17,4.222222222222222,0.0,6.911714768602366,12173.256349823585,17.279286921505875,15.6198229471491,61.53185032541138,0.19058067563592573,6.075929941504516,0.9643253762127757,10840.78346438261,15.189824853761255,13.1504509418837,43.61652510971166,0.12800291716310558
8,Omicron XBB.1.16 (Arcturus),2023-01-18,4.555555555555555,0.0,7.195782770295493,12165.634465050749,17.98945692573869,16.26663831181915,67.77740556642225,0.2099248385573808,6.394828570593977,0.9643253762127757,10808.51064413398,15.987071426484906,13.863166186655485,48.41114793572818,0.14207386176227257
8,Omicron XBB.1.16 (Arcturus),2023-01-19,5.055555555555555,0.0,7.490484253635799,12157.701928572103,18.726210634089455,16.938092796927613,74.28158864876332,0.23007004140333526,6.727049342773235,0.9643253762127757,10777.60082921947,16.817623356933048,14.60587679994807,53.45872670041134,0.15688716485931656
8,Omicron XBB.1.16 (Arcturus),2023-01-20,5.777777777777778,0.0,7.796126527678927,12149.44733863336,19.490316319197273,17.634937466665953,81.05425147589784,0.2510467981662725,7.072997134255549,0.9643253762127757,10747.839857269742,17.682492835638833,15.379638262559178,58.7701510706401,0.17247478473436048
8,Omicron XBB.1.16 (Arcturus),2023-01-21,6.388888888888889,0.0,8.113017628767237,12140.858984352959,20.282544071918046,18.357929452607713,88.1055462628171,0.2728865529841798,7.4330793194266205,0.9643253762127757,10719.047151570954,18.58269829856651,16.185503494621432,64.35664793848248,0.18886966933389399
8,Omicron XBB.1.16 (Arcturus),2023-01-22,6.888888888888889,0.0,8.44146544264606,12131.924847189495,21.1036636066151,19.107830247450465,95.44592796207115,0.29562168765461716,7.807703432010853,0.9643253762127757,10691.068516270683,19.51925858002709,17.024522237472826,70.22978632015949,0.20610577064793162
8,Omicron XBB.1.16 (Arcturus),2023-01-23,7.222222222222222,0.0,8.78177673677493,12122.632603511527,21.954441841937275,19.885403805231004,103.0861560075556,0.31928552703569363,8.19727500134007,0.9643253762127757,10663.770748272205,20.49318750335013,17.897739550547076,76.40148045980595,0.22421805381872675
8,Omicron XBB.1.16 (Arcturus),2023-01-24,7.777777777777778,0.0,9.134256097802032,12112.969628372184,22.83564024450503,20.69141443582973,111.03729529867321,0.34391234209428045,8.602195438324857,0.9643253762127757,10637.037544363353,21.505488595812093,18.806193593427047,82.88399124089119,0.24324250128291586
8,Omicron XBB.1.16 (Arcturus),2023-01-25,8.444444444444445,0.0,9.499204769213769,12102.923000595852,23.74801192303437,21.526624481435256,119.3107163426173,0.36953735034670065,9.022859892050306,0.9643253762127757,10610.766348926525,22.557149730125715,19.750912792782692,89.68992593818248,0.2632161120435977
8,Omicron XBB.1.16 (Arcturus),2023-01-26,9.222222222222221,0.0,9.876919384264271,12092.479509289013,24.692298460660624,22.391791762597137,127.91809446759402,0.3961967134218673,9.4596550251698,0.9643253762127757,10584.865896108191,23.649137562924448,20.732912452553755,96.83223629271605,0.28417689602088403
8,Omicron XBB.1.16 (Arcturus),2023-01-27,10.166666666666666,0.0,10.26769058944299,12081.625661891801,25.669226473607416,23.28766678156178,136.87140801485398,0.42392753146151946,9.912956672912207,0.9643253762127757,10559.25427252406,24.782391682280462,21.753190840736906,104.3242148552113,0.30616386332079204
8,Omicron XBB.1.16 (Arcturus),2023-01-28,10.61111111111111,0.0,10.671801553960758,12070.347693891064,26.679503884901834,24.214989670780025,146.1829354124833,0.4527678340569666,10.383127361102488,0.9643253762127757,10533.857375570615,25.95781840275616,22.812724770761776,112.17948951558971,0.32921700818083427
8,Omicron XBB.1.16 (Arcturus),2023-01-29,10.722222222222221,0.0,11.089526361035018,12058.631580319417,27.723815902587482,25.17448687481307,155.86525102906123,0.48275656740675243,10.870513665661422,0.9643253762127757,10508.60767626704,27.176284164153493,23.912464685988596,120.41201611499221,0.3533772872882533
8,Omicron XBB.1.16 (Arcturus),2023-01-30,10.555555555555555,0.0,11.521128277142209,12046.463049168115,28.802820692855455,26.1668675543662,165.9312197005848,0.5139335773650695,11.375443401056478,0.9643253762127757,10483.44321933028,28.43860850264113,25.053329250231176,129.03606902013573,0.37868659211825983
8,Omicron XBB.1.16 (Arcturus),2023-01-31,10.88888888888889,0.0,11.966857895889477,12033.827596844105,29.917144739723625,27.192819701868267,176.3939898195532,0.5463395880367963,11.898222628989,0.9643253762127757,10458.30681013993,29.74555657247243,26.236199444179764,138.06622952683887,0.40518771490146144
8,Omicron XBB.1.16 (Arcturus),2023-02-01,11.444444444444445,1.0,12.426951153748623,12020.710505803567,31.06737788437149,28.253005958911338,187.2669848708745,0.5800161755619258,12.43913248175052,0.9643253762127757,10433.14535050473,31.097831204376227,27.461912166443476,147.51737194934114,0.4329243077997093
8,Omicron XBB.1.16 (Arcturus),2023-02-02,12.444444444444445,0.0,12.901627215602554,12007.096864495183,32.25406803900631,29.3480591269926,198.56389329538362,0.6150057367201573,12.998425797494225,0.9643253762127757,10407.909294112744,32.49606449373549,28.73125333821586,157.40464724419076,0.461940834846557
8,Omicron XBB.1.16 (Arcturus),2023-02-03,13.444444444444445,0.0,13.391086228888675,11992.971589746365,33.47771557222161,30.478577364383305,210.29865655833981,0.6513514519758261,13.576323567360285,0.9643253762127757,10382.552199189688,33.940808918400634,30.044950512023632,167.7434640117322,0.49228251619167346
8,Omicron XBB.1.16 (Arcturus),2023-02-04,14.5,0.0,13.895506946094285,11978.319451724463,34.73876736523563,31.645119063611943,222.48545529740122,0.6890972425744586,14.173011197105096,0.9643253762127757,10357.030360860435,35.43252799276266,31.403664987493364,178.54946671448562,0.5239952641775705
8,Omicron XBB.1.16 (Arcturus),2023-02-05,15.222222222222221,1.0,14.415044216475819,11963.125101602414,36.037610541189466,32.84819740601489,235.1386934223716,0.728287721295415,14.788634588710101,0.9643253762127757,10331.302509464474,36.97158647177517,32.80798344046599,189.83851094996405,0.5571256107718899
8,Omicron XBB.1.16 (Arcturus),2023-02-06,15.444444444444445,0.0,14.949826349145251,11947.373102054265,37.374565872863045,34.0882745921023,248.27298003759472,0.7689681364606871,15.423296050448956,0.9643253762127757,10305.329563938692,38.5582401261223,34.25840907605439,201.62663561579885,0.5917206258794375
8,Omicron XBB.1.16 (Arcturus),2023-02-07,15.833333333333334,0.0,15.499952351101223,11931.04796070023,38.74988087775297,35.365755749132475,261.9031090573721,0.811184308798369,16.07705004711366,0.9643253762127757,10279.074431579958,40.192625117784054,35.75535232134144,213.93003180755767,0.6278278260655411
8,Omicron XBB.1.16 (Arcturus),2023-02-08,16.444444444444443,0.0,16.06548904538599,11914.134166613418,40.163722613464884,36.68098252030675,276.04403638533637,0.8549825607610437,16.749898805568698,0.9643253762127757,10252.501847200778,41.87474701392165,37.299121079338335,226.7650082945138,0.665495073236601
8,Omicron XBB.1.16 (Arcturus),2023-02-09,17.333333333333332,0.0,16.64646807632668,11896.61622999068,41.61617019081661,38.03422634340842,290.7108545304769,0.9004096379047938,17.441787794528288,0.9643253762127757,10225.578246014558,43.604469486320625,38.88991057255162,240.14795342604785,0.7047704628454973
8,Omicron XBB.1.16 (Arcturus),2023-02-10,18.833333333333332,0.0,17.24288281077384,11878.478725078234,43.1072070269345,39.42568143052983,305.91876453564277,0.9475126219442305,18.152601101438165,0.9643253762127757,10198.271665621309,45.38150275359531,40.527792812026085,254.0952933315623,0.7457022012194404
8,Omicron XBB.1.16 (Arcturus),2023-02-11,20.22222222222222,0.0,17.854685146381456,11859.70633642844,44.63671286595354,40.85545746477435,321.6830450990029,0.9963388351133595,18.882156733578906,0.9643253762127757,10170.551673275526,47.20539183394716,42.21270573601896,268.6234462899773,0.7883384716465603
